87,бумага,карандаш,Алексей,22,Мужской,11,12345,2024-02-26
88,оптимизм,позитив,Алексей,22,Мужской,52,12345,2024-02-26
89,запирать,дверь,Алексей,22,Мужской,17,12345,2024-02-26
90,сигнал,машины,Алексей,22,Мужской,21,12345,2024-02-26
91,сила,воля,Алексей,22,Мужской,11,12345,2024-02-26
92,ярость,злость,Алексей,22,Мужской,4,12345,2024-02-26
93,немногословный,закрытый,Алексей,22,Мужской,7,12345,2024-02-26
94,месяц,год,Алексей,22,Мужской,3,12345,2024-02-26
95,дело,статья,Алексей,22,Мужской,44,12345,2024-02-26
96,фамилия,семья,Алексей,22,Мужской,6,12345,2024-02-26
97,взгляд,взор,Алексей,22,Мужской,4,12345,2024-02-26
98,умный,мудрый,Алексей,22,Мужской,5,12345,2024-02-26
99,родители,отец,Алексей,22,Мужской,17,12345,2024-02-26
100,передвигать,трогать,Алексей,22,Мужской,5,12345,2024-02-26
101,результат,итог,Алексей,22,Мужской,5,12345,2024-02-26
102,звонить,телефон,Алексей,22,Мужской,4,12345,2024-02-26
103,чувствовать,ритм,Алексей,22,Мужской,4,12345,2024-02-26
104,борода,усы,Алексей,22,Мужской,2,12345,2024-02-26
105,международный,аэропорт,Алексей,22,Мужской,3,12345,2024-02-26
106,конечный,пункт,Алексей,22,Мужской,4,12345,2024-02-26
107,самобытный,дедушка,Алексей,22,Мужской,10,12345,2024-02-26
108,полка,книга,Алексей,22,Мужской,7,12345,2024-02-26
109,империя,царство,Алексей,22,Мужской,8,12345,2024-02-26
110,грести,весло,Алексей,22,Мужской,4,12345,2024-02-26
111,секрет,тайна,Алексей,22,Мужской,3,12345,2024-02-26
112,молчать,тишина,Алексей,22,Мужской,8,12345,2024-02-26
113,свободный,крылья,Алексей,22,Мужской,9,12345,2024-02-26
114,патриотизм,родина,Алексей,22,Мужской,3,12345,2024-02-26
115,везти,телега,Алексей,22,Мужской,7,12345,2024-02-26
116,стол,стул,Алексей,22,Мужской,4,12345,2024-02-26
117,палец,рука,Алексей,22,Мужской,9,12345,2024-02-26
118,скряга,жадный,Алексей,22,Мужской,8,12345,2024-02-26
119,кузница,наковальня,Алексей,22,Мужской,11,12345,2024-02-26
120,бюрократия,бумажки,Алексей,22,Мужской,4,12345,2024-02-26
121,шутка,смех,Алексей,22,Мужской,2,12345,2024-02-26
122,успеть,часы,Алексей,22,Мужской,3,12345,2024-02-26
123,мама,папа,Алексей,22,Мужской,2,12345,2024-02-26
124,буржуазный,богатый,Алексей,22,Мужской,4,12345,2024-02-26
125,живой,дышать,Алексей,22,Мужской,24,12345,2024-02-26
126,поднять,глаза,Алексей,22,Мужской,3,12345,2024-02-26
127,держать,иметь,Алексей,22,Мужской,43,12345,2024-02-26
128,небо,голубое,Алексей,22,Мужской,5,12345,2024-02-26
129,знакомый,друг,Алексей,22,Мужской,4,12345,2024-02-26
130,магазин,вывеска,Алексей,22,Мужской,6,12345,2024-02-26
131,беспечность,свобода,Алексей,22,Мужской,5,12345,2024-02-26
132,приходить,возвращаться,Алексей,22,Мужской,7,12345,2024-02-26
133,белый,серый,Алексей,22,Мужской,5,12345,2024-02-26
134,летать,птица,Алексей,22,Мужской,7,12345,2024-02-26
135,прислать,написать,Алексей,22,Мужской,6,12345,2024-02-26
136,орел,решка,Алексей,22,Мужской,2,12345,2024-02-26
137,ковер,узоры,Алексей,22,Мужской,9,12345,2024-02-26
138,икра,заморская,Алексей,22,Мужской,4,12345,2024-02-26
139,телефон,трубка,Алексей,22,Мужской,11,12345,2024-02-26
140,огромный,гигантский,Алексей,22,Мужской,11,12345,2024-02-26
141,стабильность,спокойствие,Алексей,22,Мужской,10,12345,2024-02-26
142,прогресс,эволюция ,Алексей,22,Мужской,4,12345,2024-02-26
143,изменчивый,непостоянный,Алексей,22,Мужской,10,12345,2024-02-26
144,понятный,простой,Алексей,22,Мужской,2,12345,2024-02-26
145,родина,мать,Алексей,22,Мужской,2,12345,2024-02-26
146,встретить,принять,Алексей,22,Мужской,6,12345,2024-02-26
147,играть,веселиться,Алексей,22,Мужской,6,12345,2024-02-26
148,уехать,проститься,Алексей,22,Мужской,4,12345,2024-02-26
149,нефть,газ,Алексей,22,Мужской,2,12345,2024-02-26
150,наш,коммунизм,Алексей,22,Мужской,30,12345,2024-02-26
151,имя,фамилия,Алексей,22,Мужской,3,12345,2024-02-26
152,разный,единый,Алексей,22,Мужской,6,12345,2024-02-26
153,попросить,уговаривать,Алексей,22,Мужской,6,12345,2024-02-26
